States,Year,Quarter,District,Trans_Counts,Amount
"Andaman , Nicobar Islands",2018,1,South Andaman,5688,12560249.34
"Andaman , Nicobar Islands",2018,1,Nicobars,528,1139848.801
"Andaman , Nicobar Islands",2018,1,North And Middle Andaman,442,931663.0771
"Andaman , Nicobar Islands",2018,2,South Andaman,9395,23948235.52
"Andaman , Nicobar Islands",2018,2,Nicobars,1120,3072436.908
"Andaman , Nicobar Islands",2018,2,North And Middle Andaman,825,1317863.083
"Andaman , Nicobar Islands",2018,3,South Andaman,13511,44268112.46
"Andaman , Nicobar Islands",2018,3,Nicobars,1471,6387829.152
"Andaman , Nicobar Islands",2018,3,North And Middle Andaman,1283,4901529.518
"Andaman , Nicobar Islands",2018,4,South Andaman,20136,75411840.8
"Andaman , Nicobar Islands",2018,4,North And Middle Andaman,2137,7955635.918
"Andaman , Nicobar Islands",2018,4,Nicobars,1485,7180859.355
"Andaman , Nicobar Islands",2019,1,South Andaman,25683,85501972.39
"Andaman , Nicobar Islands",2019,1,North And Middle Andaman,3264,9561708.736
"Andaman , Nicobar Islands",2019,1,Nicobars,1539,7236059.549
"Andaman , Nicobar Islands",2019,2,South Andaman,28490,102530955.7
"Andaman , Nicobar Islands",2019,2,North And Middle Andaman,3371,8612103.138
"Andaman , Nicobar Islands",2019,2,Nicobars,1828,9111650.824
"Andaman , Nicobar Islands",2019,3,South Andaman,27421,91023888.33
"Andaman , Nicobar Islands",2019,3,North And Middle Andaman,4049,11481466.28
"Andaman , Nicobar Islands",2019,3,Nicobars,2300,11566421.48
"Andaman , Nicobar Islands",2019,4,South Andaman,27843,110930312.2
"Andaman , Nicobar Islands",2019,4,North And Middle Andaman,4716,13524056.78
"Andaman , Nicobar Islands",2019,4,Nicobars,2600,12384161.53
"Andaman , Nicobar Islands",2020,1,South Andaman,32713,134679396.9
"Andaman , Nicobar Islands",2020,1,North And Middle Andaman,5674,14697371.62
"Andaman , Nicobar Islands",2020,1,Nicobars,2911,12099543.77
"Andaman , Nicobar Islands",2020,2,South Andaman,48088,132855778.7
"Andaman , Nicobar Islands",2020,2,North And Middle Andaman,10979,22447714.06
"Andaman , Nicobar Islands",2020,2,Nicobars,3895,14341508.6
"Andaman , Nicobar Islands",2020,3,South Andaman,95323,282366109.2
"Andaman , Nicobar Islands",2020,3,North And Middle Andaman,16747,33486883.37
"Andaman , Nicobar Islands",2020,3,Nicobars,5413,22166453.75
